Timestamp,Select mood that has to be changed to happy,Link (YouTube/Spotify/etc.),Type
11/28/2022 22:15:39,Fearful,https://images.app.goo.gl/tbWoqUZkV188jbZu7,Motivation
11/28/2022 22:16:05,Disgusted,https://images.app.goo.gl/QvrKhdnevzS88UVK6,Motivation
11/28/2022 22:16:51,Angry,https://images.app.goo.gl/dscnN1ajuFaW9yKj7,Motivation
11/28/2022 22:17:39,Angry,https://images.app.goo.gl/LGD2PTxQ2ny82GW16,Motivation
11/28/2022 22:18:11,Angry,https://images.app.goo.gl/TVY6oNpe5araXv8F7,Motivation
11/28/2022 22:18:38,Angry,https://images.app.goo.gl/2BHjbhFz2fbXYAUg7,Motivation
11/28/2022 22:21:21,Fearful,https://images.app.goo.gl/PKeK5hjE5bWPXL3N6,Motivation
11/28/2022 22:21:31,Angry,https://images.app.goo.gl/DyHCpXzkgZyuXPYt7,Jokes
11/28/2022 22:22:04,Disgusted,https://images.app.goo.gl/A8wbiYmSJboWQB1H9,Jokes
11/28/2022 22:22:48,Disgusted,https://images.app.goo.gl/WuLd6pki5CgpcB7D9,Motivation
11/28/2022 22:32:18,Fearful,https://www.instagram.com/reel/Cj3G-O1qDiA/?igshid=NTdlMDg3MTY=,Jokes
11/28/2022 23:35:10,Sad,https://youtu.be/1aSXZjqa3do,Motivation
11/28/2022 23:35:35,Angry,https://youtu.be/FCxmY-390xM,Meditation
11/29/2022 6:54:10,Angry,https://youtu.be/Wbt59pmT26E,Music
11/29/2022 6:54:22,Disgusted,https://youtu.be/Wbt59pmT26E,Music
11/29/2022 6:54:32,Fearful,https://youtu.be/Wbt59pmT26E,Music
11/29/2022 6:54:43,Fearful,https://youtu.be/Wbt59pmT26E,Music
11/29/2022 6:54:56,Sad,https://youtu.be/Wbt59pmT26E,Music
11/29/2022 6:55:12,Neutral,https://youtu.be/Wbt59pmT26E,Music
11/29/2022 17:21:49,Neutral,Geh,Motivation
11/29/2022 17:22:12,Angry,Heh,Music
11/29/2022 17:22:29,Angry,Hdh,Motivation
11/29/2022 17:22:44,Fearful,Gsbs,Jokes
11/29/2022 17:24:50,Sad,https://youtu.be/FuXNumBwDOM,Music
11/29/2022 17:25:10,Surprised,https://youtu.be/FuXNumBwDOM,Music
11/29/2022 17:25:25,Neutral,https://youtu.be/FuXNumBwDOM,Music
11/29/2022 17:26:02,Neutral,https://youtu.be/b7QlX3yR2xs,Music
11/29/2022 17:26:11,Surprised,https://youtu.be/b7QlX3yR2xs,Music
11/29/2022 17:26:32,Neutral,https://youtu.be/jYa1eI1hpDE,Music
11/29/2022 17:26:41,Sad,https://youtu.be/jYa1eI1hpDE,Music
11/29/2022 17:26:57,Surprised,https://youtu.be/jYa1eI1hpDE,Music
11/29/2022 17:27:26,Sad,https://youtu.be/XPBwXKgDTdE,Music
11/29/2022 17:27:37,Sad,https://youtu.be/3P0ugESOgO0,Music
11/29/2022 17:27:40,Neutral,https://youtu.be/XPBwXKgDTdE,Music
11/29/2022 17:28:08,Neutral,https://youtu.be/3P0ugESOgO0,Music
11/29/2022 17:28:25,Fearful,https://youtu.be/3P0ugESOgO0,Music
11/29/2022 17:28:38,Disgusted,https://youtu.be/3P0ugESOgO0,Music
11/29/2022 17:28:41,Neutral,https://youtu.be/YtWjvDB2dCY,Games
11/29/2022 17:29:00,Surprised,https://youtu.be/YtWjvDB2dCY,Games
11/29/2022 17:29:46,Angry,https://youtu.be/3P0ugESOgO0,Music
11/29/2022 17:30:55,Sad,https://youtu.be/5mFTXbZzOAE,Music
11/29/2022 17:31:07,Sad,https://open.spotify.com/track/199E1RRrVmVTQqBXih5qRC?si=tD74VXFTRaCPAbn11DN4IQ&utm_source=whatsapp,Music
11/29/2022 17:31:22,Neutral,https://youtu.be/5mFTXbZzOAE,Music
11/29/2022 17:32:01,Fearful,https://youtu.be/5mFTXbZzOAE,Music
11/29/2022 17:32:35,Disgusted,https://youtu.be/5mFTXbZzOAE,Music
11/29/2022 17:32:53,Sad,https://youtu.be/xCatIOFua2E,Music
11/29/2022 17:33:05,Neutral,https://youtu.be/xCatIOFua2E,Music
11/29/2022 17:33:18,Angry,https://youtu.be/xCatIOFua2E,Music
11/29/2022 17:34:33,Sad,https://smashkarts.io/,Games
11/29/2022 17:34:44,Neutral,https://smashkarts.io/,Games
